Car Name,Rating,Exterior & Body,Engine/Transmission/Clutch,Suspension/Steering,Interior,AC/Heater,Price,Model Date,Mileage,Fuel Type,Transmission,Last Updated Date,Offer URL
Toyota Fortuner 2.7 V 2021,9.5/10,85%,100%,100%,100%,100%,PKR 1.48 crore,2021.0,"40,628 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-rawalpindi-8468348
Honda Civic Turbo 1.5 VTEC CVT 2016,8.8/10,59%,100%,100%,100%,100%,PKR 55 lacs,2016.0,"33,539 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-islamabad-8413135
Suzuki Alto VXL AGS 2022,9.8/10,95%,100%,100%,97%,100%,PKR 30 lacs,2022.0,"18,837 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-rawalpindi-8504065
Toyota Prado TX L Package 2.7 2018,10/10,100%,100%,100%,100%,100%,PKR 3.25 crore,2018.0,"24,329 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2018-for-sale-in-islamabad-8294126
Honda Civic 1.8 i-VTEC CVT 2020,8.8/10,64%,98%,100%,100%,100%,PKR 56.5 lacs,2020.0,"61,774 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-islamabad-8358076
Daihatsu Mira X 2019,9.1/10,76%,100%,100%,85%,100%,PKR 38 lacs,2019.0,"42,449 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/daihatsu-mira-2019-for-sale-in-islamabad-8306475
Daihatsu Move X SA 2 2020,9.9/10,100%,100%,100%,98%,100%,PKR 35.5 lacs,2020.0,"14,518 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/daihatsu-move-2020-for-sale-in-islamabad-8321117
Toyota Passo X S  2020,9.8/10,94%,100%,100%,100%,100%,PKR 44 lacs,2020.0,"15,720 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-passo-2020-for-sale-in-lahore-8519901
Suzuki Wagon R VXL 2019,9.1/10,71%,100%,100%,95%,100%,PKR 26 lacs,2019.0,"36,202 km",Petrol,,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2019-for-sale-in-islamabad-8420763
Peugeot 2008 Allure 2022,9.8/10,94%,100%,100%,100%,100%,PKR 69.5 lacs,2022.0,"15,959 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/peugeot-2008-2022-for-sale-in-islamabad-8381830
KIA Sportage Black Limited Edition 2024,10/10,100%,100%,100%,100%,100%,PKR 92 lacs,,"1,776 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2024-for-sale-in-islamabad-8328105
Changan Karvaan Plus 2023,9.9/10,100%,100%,100%,97%,100%,PKR 32 lacs,2023.0,"6,217 km",Petrol,,"Mar 23, 2024",https://www.pakwheels.com/used-cars/changan-karvaan-2023-for-sale-in-islamabad-8457626
Suzuki Wagon R VXR 2023,10/10,100%,100%,100%,100%,100%,PKR 30.5 lacs,2023.0,44 km,Petrol,,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2023-for-sale-in-islamabad-8252857
MG HS Essence 2024,10/10,99%,100%,100%,100%,100%,PKR 81 lacs,,"2,688 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/mg-hs-2024-for-sale-in-islamabad-8391864
Honda City 1.5L ASPIRE CVT 2021,9.8/10,95%,100%,100%,100%,100%,PKR 53.5 lacs,2021.0,"4,250 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-islamabad-8279487
Changan Oshan X7 FutureSense 2022,9.9/10,99%,100%,100%,95%,100%,PKR 90 lacs,2022.0,"8,310 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/changan-oshan-x7-2022-for-sale-in-islamabad-8270990
Changan Alsvin 1.5L DCT Lumiere 2022,9.0/10,68%,100%,100%,98%,100%,PKR 42.8 lacs,2022.0,"25,095 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/changan-alsvin-2022-for-sale-in-islamabad-8051114
Toyota C-HR G 2017,9.7/10,92%,100%,100%,95%,100%,PKR 82 lacs,2017.0,"66,855 km",Hybrid,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-c-hr-2017-for-sale-in-islamabad-8433380
Changan Oshan X7 FutureSense 2022,9.6/10,87%,100%,100%,100%,100%,PKR 85 lacs,2022.0,"8,977 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/changan-oshan-x7-2022-for-sale-in-islamabad-8324996
Suzuki Alto VXL AGS 2022,9.8/10,93%,100%,100%,95%,100%,PKR 30 lacs,2022.0,"10,640 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-rawalpindi-8448006
Suzuki Cultus VXL 2021,9.5/10,89%,100%,100%,91%,100%,PKR 35.8 lacs,2021.0,"40,266 km",Petrol,,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-islamabad-8430899
Honda Civic Oriel 1.8 i-VTEC CVT 2021,9.4/10,81%,100%,100%,98%,100%,PKR 76 lacs,2021.0,"22,328 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-8370565
Nissan Leaf 2020,9.3/10,76%,100%,100%,98%,100%,PKR 98 lacs,2020.0,"54,006 km",,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/nissan-leaf-2020-for-sale-in-islamabad-8430642
Honda Civic RS 2023,10/10,100%,100%,100%,100%,100%,PKR 1 crore,2023.0,44 km,Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/honda-civic-2023-for-sale-in-rawalpindi-8448663
Toyota Corolla GLi 1.3 VVTi Special Edition 2018,9.1/10,75%,100%,100%,86%,100%,PKR 45 lacs,2018.0,"65,339 km",Petrol,,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-islamabad-8423875
Daihatsu Mira LSA 3 2021,9.5/10,89%,100%,100%,88%,100%,PKR 37.5 lacs,2021.0,"6,219 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/daihatsu-mira-2021-for-sale-in-islamabad-8464260
Toyota Raize 2022,8.9/10,64%,100%,100%,100%,100%,PKR 73 lacs,2022.0,"15,886 km",Hybrid,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-raize-2022-for-sale-in-islamabad-8433226
Proton X70 Premium FWD 2022,9.9/10,96%,100%,100%,100%,100%,PKR 84 lacs,2022.0,"3,503 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/proton-x70-2022-for-sale-in-rawalpindi-8455495
Daihatsu Mira X SA lll 2022,9.1/10,73%,100%,100%,93%,100%,PKR 37.5 lacs,2022.0,"23,177 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/daihatsu-mira-2022-for-sale-in-islamabad-8252930
Suzuki Wagon R VXL 2023,10/10,100%,100%,100%,97%,100%,PKR 32.5 lacs,2023.0,"17,380 km",Petrol,,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2023-for-sale-in-islamabad-8472933
Haval H6 2.0T AWD 2023,9.5/10,85%,100%,100%,100%,100%,PKR 1.05 crore,2023.0,"15,482 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/haval-h6-2023-for-sale-in-rawalpindi-8472668
Suzuki Cultus Auto Gear Shift 2022,7.8/10,37%,100%,100%,85%,100%,PKR 33 lacs,2022.0,"32,514 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-cultus-2022-for-sale-in-islamabad-8461931
Honda BR-V i-VTEC S 2022,9.8/10,96%,100%,100%,97%,100%,PKR 57 lacs,2022.0,"21,057 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/honda-br-v-2022-for-sale-in-islamabad-8458630
Toyota Corolla Altis X Automatic 1.6 2021,8.9/10,67%,100%,100%,90%,100%,PKR 55 lacs,2021.0,"77,535 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-8399535
Honda City 1.2L M/T 2021,9.9/10,98%,100%,100%,97%,100%,PKR 43.5 lacs,2021.0,"11,256 km",Petrol,,"Mar 23, 2024",https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-islamabad-8436782
MG HS Essence 2023,10/10,99%,100%,100%,100%,100%,PKR 81 lacs,2023.0,976 km,Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/mg-hs-2023-for-sale-in-rawalpindi-8423745
Suzuki Wagon R Hybrid FX 2022,9.5/10,83%,100%,100%,100%,100%,PKR 41.5 lacs,2022.0,"12,869 km",Hybrid,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-rawalpindi-8269900
Suzuki Alto L 2021,9.9/10,98%,100%,100%,100%,100%,PKR 34 lacs,2021.0,"4,630 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-rawalpindi-8261383
Honda Civic Oriel 1.8 i-VTEC CVT 2020,8.3/10,47%,100%,100%,95%,100%,PKR 58 lacs,2020.0,"87,950 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-islamabad-8382452
Suzuki Wagon R VXL 2018,9.5/10,87%,100%,100%,98%,100%,PKR 27 lacs,2018.0,"9,384 km",Petrol,,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2018-for-sale-in-islamabad-8352759
Toyota Corolla GLi 1.3 VVTi 2015,8.0/10,33%,100%,100%,97%,100%,PKR 35.5 lacs,2015.0,"110,510 km",Petrol,,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-islamabad-8482768
Haval H6 2.0T AWD 2023,9.2/10,75%,100%,100%,95%,100%,PKR 1.05 crore,2023.0,"24,645 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/haval-h6-2023-for-sale-in-islamabad-8411684
Toyota Prado TX Limited 2.7 2016,9.2/10,72%,100%,100%,100%,100%,PKR 2.4 crore,2016.0,"82,012 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2016-for-sale-in-rawalpindi-8461223
Honda Civic Oriel 1.8 i-VTEC CVT 2021,9.9/10,97%,100%,100%,100%,100%,PKR 73 lacs,2021.0,"22,989 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-8448331
Suzuki Alto VXL AGS 2022,9.3/10,84%,100%,100%,83%,100%,PKR 28.5 lacs,2022.0,"68,970 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-islamabad-8495663
Toyota C-HR G-LED 2018,9.8/10,93%,100%,100%,100%,100%,PKR 84 lacs,2018.0,"51,396 km",Hybrid,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-lahore-8436836
Suzuki Cultus VXR 2022,9.3/10,78%,100%,100%,97%,100%,PKR 32.9 lacs,2022.0,"27,036 km",Petrol,,"Mar 23, 2024",https://www.pakwheels.com/used-cars/suzuki-cultus-2022-for-sale-in-rawalpindi-8491649
Changan Karvaan Plus 2022,8.8/10,67%,98%,100%,92%,100%,PKR 24.5 lacs,2022.0,"51,622 km",Petrol,,"Mar 23, 2024",https://www.pakwheels.com/used-cars/changan-karvaan-2022-for-sale-in-islamabad-8495947
Toyota Yaris ATIV X CVT 1.5 2020,9.3/10,75%,100%,100%,100%,100%,PKR 44 lacs,2020.0,"67,552 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-2020-for-sale-in-islamabad-8361960
Toyota Corolla Altis Grande CVT-i 1.8 2016,9.5/10,86%,100%,100%,100%,100%,PKR 50 lacs,2016.0,"18,566 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-islamabad-8519436
Honda HR-V VTi-S 2023,9.6/10,90%,100%,100%,100%,100%,PKR 69.5 lacs,2023.0,"24,090 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/honda-hr-v-2023-for-sale-in-lahore-8383973
Toyota Vitz F M Package 1.0 2018,9.8/10,92%,100%,100%,100%,100%,PKR 41 lacs,2018.0,"43,287 km",Petrol,Automatic,"Mar 23, 2024",https://www.pakwheels.com/used-cars/toyota-vitz-2018-for-sale-in-lahore-8467697
Toyota Hilux Revo V Automatic 2.8 2021,9.5/10,86%,100%,100%,96%,100%,PKR 1.28 crore,2021.0,"9,851 km",Diesel,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-karachi-8048263
Toyota Land Cruiser AX G Selection 2019,9.9/10,98%,100%,100%,100%,100%,PKR 4.79 crore,2019.0,"35,394 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-land-cruiser-2019-for-sale-in-karachi-8347939
Ford F 150 Raptor 5.0L 2018,9.3/10,75%,100%,100%,99%,100%,PKR 2.45 crore,2018.0,"83,221 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/ford-f-150-2018-for-sale-in-karachi-8260454
Toyota Prado TX L Package 2.7 2013,9.6/10,85%,100%,100%,98%,100%,PKR 2.08 crore,2013.0,"31,813 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2013-for-sale-in-karachi-8512432
Toyota Land Cruiser 2004,9.7/10,91%,100%,100%,99%,100%,PKR 1.45 crore,2004.0,"99,000 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-land-cruiser-2004-for-sale-in-hyderabad-8454965
Audi A4 1.4 TFSI  2019,9.5/10,86%,100%,100%,100%,100%,PKR 1.48 crore,2019.0,"40,632 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/audi-a4-2019-for-sale-in-lahore-8295805
Honda Civic 1.8 i-VTEC CVT 2021,9.8/10,96%,100%,100%,100%,100%,PKR 62 lacs,2021.0,"31,294 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-8516143
Nissan Dayz 2022,9.6/10,88%,100%,100%,98%,100%,PKR 39 lacs,2022.0,"12,910 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/nissan-dayz-2022-for-sale-in-lahore-8514821
Proton Saga 1.3L Ace A/T 2023,10/10,100%,100%,100%,100%,100%,PKR 36.7 lacs,2023.0,48 km,Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/proton-saga-2023-for-sale-in-lahore-8259390
KIA Sportage AWD 2021,9.7/10,91%,100%,100%,98%,100%,PKR 78 lacs,2021.0,"26,578 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-faisalabad-8493206
Changan Karvaan Base Model 1.0 2021,8.9/10,73%,98%,100%,89%,100%,PKR 23.5 lacs,2021.0,"32,335 km",Petrol,,"Mar 22, 2024",https://www.pakwheels.com/used-cars/changan-karvaan-2021-for-sale-in-karachi-8507601
Toyota Prado TX 2.7 2018,9.8/10,93%,100%,100%,98%,100%,PKR 2.52 crore,2018.0,"34,037 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2018-for-sale-in-karachi-8364224
Proton X70 Premium FWD 2022,9.7/10,92%,100%,100%,90%,100%,PKR 68 lacs,2022.0,"34,895 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/proton-x70-2022-for-sale-in-karachi-8488510
Suzuki Cultus VXL 2021,9.3/10,82%,100%,100%,91%,100%,PKR 34 lacs,2021.0,"47,265 km",Petrol,,"Mar 22, 2024",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-lahore-8481981
Toyota Yaris Hatchback G 1.0 2020,10/10,99%,100%,100%,97%,100%,PKR 50 lacs,2020.0,"43,463 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-karachi-8470004
MG HS 1.5 Turbo 2021,9.7/10,94%,100%,100%,95%,100%,PKR 68.5 lacs,2021.0,"40,219 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-8515583
Toyota Yaris Hatchback G 1.0 2020,9.6/10,87%,100%,100%,97%,100%,PKR 55 lacs,2020.0,"35,134 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-karachi-8519012
Honda City 1.5L ASPIRE CVT 2022,10/10,100%,100%,100%,100%,100%,PKR 55 lacs,2022.0,908 km,Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-karachi-8398200
Suzuki Ciaz Automatic 2019,7.8/10,35%,98%,100%,85%,100%,PKR 36 lacs,2019.0,"92,782 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/suzuki-ciaz-2019-for-sale-in-karachi-8485143
Toyota Passo X L Package S  2020,9.6/10,87%,100%,100%,99%,100%,PKR 41.8 lacs,2020.0,"65,909 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-passo-2020-for-sale-in-rawalpindi-8326595
Toyota Corolla Cross 1.8 HEV X 2024,10/10,100%,100%,100%,100%,100%,PKR 1.06 crore,,"1,934 km",Hybrid,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-cross-2024-for-sale-in-lahore-8515545
Toyota Roomy XS 2020,9.5/10,90%,100%,100%,95%,100%,PKR 41.75 lacs,2020.0,"23,788 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-roomy-2020-for-sale-in-lahore-8444154
Toyota Yaris GLI MT 1.3 2021,8.8/10,62%,100%,100%,95%,100%,PKR 36.5 lacs,2021.0,"37,516 km",Petrol,,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-8363667
MG ZS EV Luxury 2022,9.9/10,97%,100%,100%,98%,100%,PKR 90 lacs,2022.0,"30,983 km",,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/mg-zs-ev-2022-for-sale-in-lahore-8497191
Changan Alsvin 1.5L DCT Lumiere 2021,9.8/10,94%,100%,100%,96%,100%,PKR 41 lacs,2021.0,"9,611 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/changan-alsvin-2021-for-sale-in-lahore-8436567
Toyota Corolla Altis X CVT-i 1.8 2021,9.2/10,84%,98%,96%,91%,100%,PKR 65 lacs,2021.0,"62,188 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-lahore-8517082
Honda City 1.5L ASPIRE CVT 2022,9.3/10,77%,100%,100%,100%,100%,PKR 52.5 lacs,2022.0,"11,261 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-lahore-8381276
KIA Picanto 1.0 AT 2021,9.5/10,85%,100%,100%,94%,100%,PKR 35.4 lacs,2021.0,"3,757 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/kia-picanto-2021-for-sale-in-lahore-8394598
Honda HR-V VTi-S 2023,9.6/10,87%,100%,100%,95%,100%,PKR 73 lacs,2023.0,"10,731 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/honda-hr-v-2023-for-sale-in-lahore-8404716
Suzuki Swift GL Manual 2022,10/10,100%,100%,100%,100%,100%,PKR 41.5 lacs,2022.0,"2,758 km",Petrol,,"Mar 22, 2024",https://www.pakwheels.com/used-cars/suzuki-swift-2022-for-sale-in-karachi-8401775
Suzuki Swift GLX CVT 2022,9.5/10,85%,100%,100%,94%,100%,PKR 46 lacs,2022.0,"22,596 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/suzuki-swift-2022-for-sale-in-karachi-8412679
Peugeot 2008 Active 2022,9.3/10,78%,100%,100%,98%,100%,PKR 61 lacs,2022.0,"53,983 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/peugeot-2008-2022-for-sale-in-karachi-8441952
Honda Vezel Hybrid RS Honda Sensing  2018,9.8/10,92%,100%,100%,99%,100%,PKR 83 lacs,2018.0,"69,317 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/honda-vezel-2018-for-sale-in-gujranwala-8395364
Toyota Prado TX L Package 2.7 2019,9.5/10,90%,100%,100%,100%,100%,PKR 3.3 crore,2019.0,"51,007 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2019-for-sale-in-lahore-8424155
Honda City 1.5L ASPIRE CVT 2022,9.7/10,90%,100%,100%,100%,100%,PKR 53 lacs,2022.0,"7,113 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-lahore-8416512
Suzuki Wagon R AGS 2021,8.9/10,64%,100%,100%,100%,100%,PKR 35 lacs,2021.0,"14,150 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2021-for-sale-in-lahore-8410022
Honda Civic Oriel 2022,9.4/10,81%,100%,100%,100%,100%,PKR 80 lacs,2022.0,"5,723 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-lahore-8394579
Toyota Fortuner 2.8 Sigma 4 2022,10/10,100%,100%,100%,100%,100%,PKR 1.66 crore,2022.0,"25,048 km",Diesel,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-karachi-8479483
KIA Stonic EX+ 2022,9.1/10,76%,100%,100%,90%,100%,PKR 55 lacs,2022.0,"23,135 km",Petrol,Automatic,"Mar 22, 2024",https://www.pakwheels.com/used-cars/kia-stonic-2022-for-sale-in-lahore-8485321
Suzuki Wagon R 2022,9.9/10,99%,100%,100%,100%,100%,PKR 40.95 lacs,2022.0,"17,000 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-islamabad-8221694
Toyota Aqua G 2018,9.4/10,85%,100%,100%,98%,100%,PKR 57 lacs,2018.0,"53,664 km",Hybrid,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/toyota-aqua-2018-for-sale-in-islamabad-8515847
Suzuki Alto VXR 2023,9.5/10,86%,100%,100%,97%,100%,PKR 27.75 lacs,2023.0,"8,424 km",Petrol,,"Mar 21, 2024",https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-islamabad-8515538
Daihatsu Taft 2020,9.6/10,88%,100%,100%,100%,100%,PKR 42 lacs,2020.0,"32,710 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/daihatsu-taft-2020-for-sale-in-karachi-8504612
KIA Picanto 1.0 AT 2020,9.4/10,84%,100%,100%,89%,100%,PKR 29.5 lacs,2020.0,"72,532 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/kia-picanto-2020-for-sale-in-islamabad-8515844
KIA Sportage FWD 2020,9.4/10,88%,100%,100%,91%,100%,PKR 67 lacs,2020.0,"48,260 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-islamabad-8515848
MG HS 1.5 Turbo 2021,9.8/10,95%,100%,100%,100%,100%,PKR 70 lacs,2021.0,"10,957 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-8515441
Honda Vezel e-HEV Z 2021,9.7/10,93%,100%,100%,100%,100%,PKR 1.17 crore,2021.0,"7,171 km",Hybrid,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/honda-vezel-2021-for-sale-in-lahore-8193641
Chery Tiggo 8 Pro 1.6 DEX Plus 2023,9.8/10,93%,100%,100%,100%,100%,PKR 96 lacs,2023.0,"11,444 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/chery-tiggo-8-pro-2023-for-sale-in-lahore-8492751
Suzuki Spacia X 2020,9.8/10,96%,100%,100%,100%,100%,PKR 42 lacs,2020.0,"17,358 km",Hybrid,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/suzuki-spacia-2020-for-sale-in-islamabad-8514875
KIA Sportage Alpha 2023,10/10,100%,100%,100%,97%,100%,PKR 82 lacs,2023.0,"9,450 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2023-for-sale-in-rawalpindi-8512530
Daihatsu Mira LSA 3 2020,9.5/10,83%,100%,100%,100%,100%,PKR 33 lacs,2020.0,"40,724 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/daihatsu-mira-2020-for-sale-in-islamabad-8515553
KIA Sportage AWD 2021,9.7/10,92%,100%,100%,97%,100%,PKR 76 lacs,2021.0,"34,369 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-karachi-8512316
Hyundai Tucson AWD A/T Ultimate 2021,9.7/10,91%,100%,100%,94%,100%,PKR 82 lacs,2021.0,"10,802 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/hyundai-tucson-2021-for-sale-in-karachi-8500119
Hyundai Sonata 2.5 2022,9.9/10,96%,100%,100%,98%,100%,PKR 1.09 crore,2022.0,"16,172 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/hyundai-sonata-2022-for-sale-in-karachi-8488673
Honda City Aspire Prosmatec 1.5 i-VTEC 2019,9.1/10,72%,100%,100%,95%,100%,PKR 40.8 lacs,2019.0,"51,063 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-karachi-8505740
Toyota Prado TX 2.7 2015,9.5/10,82%,100%,100%,100%,100%,PKR 1.85 crore,2015.0,"94,753 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2015-for-sale-in-karachi-8515310
Toyota Prado TX 2.7 2018,10/10,99%,100%,100%,100%,100%,PKR 2.79 crore,2018.0,"48,356 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2018-for-sale-in-lahore-8420824
Honda City 1.5L ASPIRE CVT 2023,9.7/10,90%,100%,100%,100%,100%,PKR 57 lacs,2023.0,"4,609 km",Petrol,Automatic,"Mar 21, 2024",https://www.pakwheels.com/used-cars/honda-city-2023-for-sale-in-lahore-8424197
